Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
193.26,-30.55,291.5,65.68,12.67
216.93,48.35,315.95,12.78,16.78
282.61,163.35,214.04,38.23,19.45
263.94,196.15,221.93,31.34,29.56
324.84,83.35,159.92,32.45,41.12
393.63,192.8,136.47,11.67,20.56
230.82,126.7,263.05,31.45,25.34
296.5,70.0,200.15,60.79,8.67
520.1,-20.0,45.01,-1.0,-8.0
169.81,244.5,224.82,26.56,118.91
204.26,82.8,110.02,185.48,59.68
427.08,142.8,104.13,1.89,37.34
424.97,69.45,133.47,23.67,6.89
62.68,648.45,210.15,31.45,156.03
190.59,317.85,188.37,6.89,118.58
234.49,48.35,219.82,67.68,28.45
349.4,73.9,170.92,37.23,2.78
89.24,82.25,408.41,19.56,40.34
297.61,240.6,218.82,13.78,14.67
292.61,108.35,117.91,12.67,146.14
79.68,912.95,97.24,213.04,16.56
368.29,158.35,189.37,22.67,-1.11
482.09,-35.55,99.13,1.0,-0.11
330.95,72.8,108.91,35.23,99.35
518.32,4.45,55.9,3.89,10.89
405.3,187.25,136.58,9.78,-12.0
359.29,127.25,187.59,2.89,0.89
506.54,10.0,71.68,7.89,14.89
279.61,251.7,178.7,29.34,60.9
142.47,437.3,246.49,43.12,70.46
324.95,330.05,159.14,31.34,26.56
311.17,511.75,109.02,8.89,64.57
273.94,181.7,199.15,29.45,41.23
286.5,294.5,78.57,87.24,68.68
230.71,343.95,152.03,93.35,36.23
442.64,-50.0,130.69,11.89,-5.11
240.38,3.9,227.82,66.68,35.34
478.09,108.9,94.35,9.89,13.89
132.58,750.15,168.7,71.79,65.9
202.04,-55.0,173.81,98.24,106.02
437.75,87.8,83.46,37.34,6.89
219.04,113.35,311.06,10.78,20.45
489.87,44.45,74.57,5.0,3.78
167.92,171.7,347.51,21.56,20.67
243.27,138.35,237.71,35.34,47.9
490.98,79.45,86.35,-1.11,3.89
297.61,162.8,143.36,136.47,-3.0
232.49,225.6,256.27,41.12,5.89
194.26,305.6,0.0,37.34,17.67
320.17,349.5,193.48,30.45,5.0
285.83,364.5,149.36,73.57,40.34
391.63,152.25,131.47,18.67,5.78
213.04,138.35,287.5,19.56,42.23
146.36,353.95,220.04,121.8,42.01
345.73,18.9,180.48,35.34,19.78
144.36,-11.1,381.85,47.23,12.78
272.72,97.8,177.7,48.12,57.79
116.69,123.9,173.81,131.47,151.25
522.1,15.0,44.12,9.89,7.89
64.9,197.25,29.56,18.56,451.53
264.94,426.75,167.81,30.45,31.34
165.03,358.95,241.38,6.89,106.91
125.8,785.7,79.57,136.47,101.13
512.32,-10.0,58.9,3.89,4.0
100.13,614.55,321.84,-0.11,48.23
321.95,175.6,189.59,20.56,3.78
395.52,93.35,135.36,12.78,14.67
484.98,-35.0,71.79,26.56,11.67
497.76,-15.0,91.35,7.89,-12.0
551.66,-15.55,28.45,7.0,-3.0
349.4,87.8,142.47,9.78,68.79
429.97,63.35,124.69,18.67,1.89
416.08,128.35,127.47,7.89,-4.11
282.72,38.35,249.38,18.56,6.67
429.97,64.45,117.8,12.67,10.67
120.8,599.0,160.14,128.69,80.57
228.6,97.25,284.61,14.67,25.67
158.03,313.4,245.38,93.13,9.89
249.38,-10.55,311.17,4.78,3.78
182.7,274.5,212.93,23.67,106.8
378.07,78.9,166.81,6.89,18.45
342.51,88.35,176.81,7.78,39.23
256.05,342.85,132.47,40.34,70.68
389.85,-5.0,151.03,24.45,5.78
236.49,88.9,230.82,57.9,63.9
455.42,78.35,104.13,3.0,19.78
324.06,113.35,216.93,11.67,25.67
99.02,263.95,158.03,45.12,209.04
162.81,397.85,242.38,76.68,38.45
263.05,363.4,220.93,28.56,-0.22
158.92,634.0,207.26,73.57,23.45
431.86,59.45,129.58,6.89,-0.22
0.0,253.95,230.6,5.89,43.12
451.64,53.35,101.02,1.89,14.67
33.23,1026.3,82.57,75.68,212.15
461.2,-10.55,92.13,3.89,7.89
233.71,560.65,200.26,6.89,56.01
314.95,24.45,129.58,9.89,120.69
532.88,34.45,29.34,11.89,-1.0
106.02,587.9,76.46,22.45,225.6
421.3,34.45,150.14,-6.0,17.67
491.87,39.45,80.35,5.89,6.0
469.31,-65.0,115.8,0.0,11.0
346.62,68.9,199.37,20.67,31.56
499.76,-25.55,60.9,22.56,2.0
211.93,-5.55,289.5,58.01,12.67
488.87,8.9,64.68,5.78,7.89
290.39,271.15,195.26,9.89,32.23
390.52,-30.55,167.81,-1.11,-0.11
344.73,244.5,128.47,48.01,3.89
163.03,927.4,159.92,45.23,34.34
185.7,53.35,267.94,67.79,42.01
314.28,200.05,134.36,34.23,63.01
343.62,63.9,170.81,30.34,40.45
178.59,258.95,240.49,89.46,17.67
313.28,58.35,245.49,11.67,12.89
263.27,215.6,213.04,24.56,43.01
181.59,275.6,262.05,-3.0,84.24
508.43,-30.55,65.9,5.78,9.0
543.77,50.0,39.23,-7.0,-7.0
444.64,84.45,126.69,10.89,-6.11
263.16,-5.0,215.93,48.12,68.79
477.09,35.0,101.02,-4.0,3.0
368.96,281.15,139.47,34.45,14.89
382.85,33.35,178.81,14.67,2.0
299.39,39.45,221.93,24.45,23.34
485.87,94.45,84.46,3.89,-6.11
189.59,240.6,249.38,56.01,63.9
320.17,264.5,154.25,11.78,57.9
533.1,84.45,43.12,0.89,5.89
425.86,216.7,87.24,8.89,16.67
436.97,187.8,114.91,5.78,18.78
401.41,123.35,134.58,12.78,24.56
532.99,-15.0,47.01,4.0,8.0
317.17,93.35,209.93,34.45,18.78
333.95,323.4,84.35,44.12,46.9
247.38,256.15,146.25,106.13,58.12
250.49,54.45,241.49,63.9,48.23
267.94,207.25,201.26,44.12,41.23
183.59,303.4,219.82,18.67,99.24
443.53,59.45,102.24,16.67,19.67
139.36,808.5,163.92,63.68,34.34
33.34,406.2,131.69,175.7,164.03
447.53,-30.55,107.91,8.89,17.78
152.25,579.55,233.71,53.9,45.23
205.04,403.4,105.02,87.24,113.02
239.49,501.75,180.7,75.68,2.78
153.25,335.05,295.61,64.79,36.34
541.77,-35.0,25.45,6.89,3.89
188.48,273.95,271.83,26.45,29.45
210.15,23.9,253.38,70.79,63.01
301.39,216.7,195.37,50.12,2.78
293.5,177.25,207.26,37.34,28.34
32.23,422.3,302.5,101.24,73.46
311.28,111.7,225.93,20.67,1.78
506.54,3.9,49.01,17.78,4.89
466.42,-10.55,112.91,12.89,16.89
510.54,39.45,73.68,12.89,2.0
92.46,639.0,248.49,-1.11,139.36
389.63,68.9,154.25,17.67,23.67
537.99,55.0,40.12,-1.0,6.0
316.17,99.45,188.59,22.67,64.68
174.7,142.8,246.27,110.8,22.67
181.48,725.15,207.26,14.67,8.67
310.17,187.25,197.26,17.78,17.45
50.9,1012.4,221.93,10.78,128.8
316.28,43.35,234.71,19.56,0.89
291.61,162.8,230.71,26.56,29.67
537.77,69.45,37.45,-6.0,17.89
222.04,98.35,301.28,44.23,0.78
175.7,288.95,180.7,101.24,82.46
345.4,-30.0,156.03,24.45,36.12
472.2,-25.0,108.02,12.89,-2.11
163.92,727.35,151.25,66.68,76.68
511.32,99.45,63.9,2.0,-5.0
428.08,157.8,106.02,22.56,5.78
331.84,177.8,181.7,44.12,17.67
328.95,8.9,188.48,46.12,7.67
241.49,103.9,285.72,43.12,5.78
450.53,176.7,94.35,1.89,0.89
313.17,177.25,145.25,92.35,14.78
484.76,-30.55,55.01,18.78,35.45
248.38,185.6,215.82,20.67,40.12
204.04,226.7,240.6,33.45,76.57
540.77,50.0,46.23,-5.0,-10.0
156.92,298.4,195.37,63.79,92.24
281.61,235.6,147.36,65.9,65.01
96.02,541.2,189.59,127.69,90.35
269.05,98.35,266.16,-3.0,58.12
506.43,-75.0,55.9,5.89,1.78
499.54,33.9,59.79,-6.0,4.89
71.57,549.55,161.03,120.8,119.69
209.93,298.4,233.6,36.45,35.34
426.08,13.9,123.58,18.78,4.78
333.73,413.4,129.58,23.56,18.45
139.58,82.25,246.49,72.57,102.91
48.01,334.5,182.59,145.25,149.25
48.12,215.05,249.49,140.47,98.02
325.73,210.6,162.92,-2.0,39.34
247.38,265.05,128.58,81.35,74.68
168.03,609.55,216.82,94.35,13.89
348.62,241.7,151.14,44.23,23.78
445.53,-10.0,107.91,9.78,22.78
172.59,725.15,181.48,43.23,5.67
447.64,-25.0,130.58,0.89,12.89
386.74,-30.55,151.03,25.45,16.78
430.08,58.9,138.47,18.78,13.89
285.83,54.45,259.27,30.56,22.45
187.59,141.15,246.27,80.46,26.45
41.23,1089.1,69.68,101.24,150.14
460.42,19.45,41.12,34.34,49.23
233.6,48.35,200.15,14.78,109.8
434.08,40.0,137.47,15.78,20.78
252.16,-6.1,292.5,-0.11,13.67
102.91,87.25,352.51,54.01,35.12
174.59,246.7,314.28,13.67,37.12
443.75,-40.0,123.58,12.89,14.78
287.72,187.8,230.82,38.23,24.67
245.38,142.8,280.83,34.45,2.89
456.64,182.8,103.91,6.0,-4.11
388.74,132.25,129.69,25.56,32.56
532.99,-40.0,41.12,6.0,-2.0
204.26,383.4,158.03,77.57,73.46
323.06,225.05,165.92,11.67,37.34
92.35,1025.75,195.26,54.12,53.12
211.04,128.9,284.72,63.9,16.56
332.95,94.45,210.93,24.67,25.56
210.15,171.7,209.04,82.57,52.9
432.97,-15.0,145.36,7.89,14.78
366.29,206.7,140.25,0.89,42.12
344.73,-50.0,207.26,4.89,46.23
242.38,307.85,171.92,17.67,81.35
269.83,62.8,203.15,44.23,50.23
371.96,92.8,107.91,8.78,52.79
222.04,201.7,284.61,16.56,28.56
261.94,295.05,124.8,69.57,64.57
96.24,235.6,210.93,197.37,34.34
457.64,-20.55,94.35,47.23,-1.11
104.02,695.7,248.27,7.78,58.79
422.3,123.9,146.36,14.78,4.78
364.18,9.45,208.26,11.89,-2.11
138.58,342.85,260.16,101.24,24.45
430.08,113.9,119.8,-1.0,31.34
406.3,104.45,118.69,14.78,30.34
452.42,212.25,89.35,12.89,1.89
249.38,13.35,240.6,40.12,31.23
539.88,60.0,23.45,11.89,11.78
11.67,245.05,183.7,223.71,104.91
175.81,197.25,283.72,57.79,44.12
126.8,128.9,137.47,219.04,105.91
492.76,-15.55,81.57,12.89,2.89
185.48,300.05,298.5,24.45,22.67
388.63,-40.0,139.25,4.78,23.45
452.53,84.45,106.02,1.89,6.67
479.98,98.9,85.46,17.78,-8.0
420.3,88.9,140.47,35.45,2.0
124.69,539.0,216.93,119.8,7.78
431.86,78.9,99.02,18.56,15.78
136.58,695.7,210.04,38.23,59.01
327.06,3.9,188.37,25.56,40.23
46.12,212.25,177.59,148.25,181.7
499.54,70.0,67.68,-1.11,16.89
131.47,348.4,164.81,167.92,42.12
343.62,156.7,127.69,13.78,75.46
163.03,211.7,335.73,25.45,24.45
523.21,75.0,46.01,7.89,14.89
322.06,271.15,216.82,5.0,13.89
503.76,49.45,75.68,18.67,8.0
420.19,151.15,109.02,-1.0,25.67
129.58,18.9,278.72,71.57,89.35
275.72,166.15,239.49,2.0,33.56
440.75,106.7,101.24,4.78,-1.11
190.37,-10.55,253.16,65.79,57.79
206.15,465.1,124.58,81.57,76.68
86.35,564.0,198.26,130.69,67.9
585.22,-35.0,5.78,-4.0,-11.0
456.53,93.9,104.02,15.78,13.89
333.84,222.25,202.37,22.45,-0.22
121.91,276.15,96.13,231.71,106.02
462.53,13.9,98.13,-2.0,29.56
414.08,9.45,130.69,19.56,12.78
514.21,40.0,49.01,5.89,4.89
515.54,30.0,66.79,6.78,3.0
395.52,127.25,119.8,-4.0,25.34
143.47,338.95,220.04,88.46,110.13
384.63,53.9,164.81,2.89,3.78
251.27,160.6,195.26,69.57,1.89
350.62,230.05,137.58,65.9,15.89
183.59,595.1,135.58,121.8,48.9
550.77,35.0,35.34,-1.0,8.0
183.7,369.5,155.14,80.46,105.8
421.08,63.35,120.8,-0.11,11.67
304.17,182.8,223.82,14.78,5.78
139.58,270.05,0.0,28.56,25.67
545.88,-55.0,35.23,-6.0,9.0
292.72,52.8,230.71,19.56,30.45
297.5,104.45,271.05,24.67,14.89
530.1,35.0,55.01,4.89,-4.0
62.68,427.85,380.74,9.78,34.23
7.67,791.25,221.71,181.59,1.78
348.51,138.35,163.92,29.56,41.45
74.68,942.4,182.7,72.68,78.46
333.84,9.45,186.48,16.56,42.23
363.18,53.9,164.92,25.45,24.67
52.01,348.4,49.01,193.48,225.82
332.84,165.6,189.37,-6.0,26.67
50.9,220.05,314.28,29.56,140.25
331.73,68.35,214.93,-6.0,23.67
96.13,416.2,201.37,13.78,195.37
532.99,50.0,39.12,2.0,8.0
211.93,373.95,180.7,54.12,93.46
19.45,364.5,199.15,158.92,137.58
534.21,-40.55,60.01,9.89,3.0
393.63,92.25,110.02,26.45,22.45
297.61,-35.55,217.93,35.34,29.23
265.94,206.15,199.37,57.9,28.56
444.53,167.8,88.35,21.67,12.89
339.84,-30.0,157.03,65.79,41.34
375.96,143.35,154.03,30.45,12.89
531.99,34.45,49.23,2.89,0.0
276.94,55.0,202.37,87.24,38.45
492.76,113.9,70.68,-4.0,16.78
332.84,58.35,230.82,13.78,12.89
449.53,-10.55,109.8,9.78,7.0
533.88,15.0,39.23,-7.0,17.89
473.31,25.0,92.13,10.67,4.89
404.52,42.8,152.25,7.78,-0.11
427.86,163.35,73.68,18.56,37.23
316.17,358.4,130.58,27.56,42.01
455.53,212.25,75.57,27.56,4.89
232.71,-5.0,195.37,148.25,14.67
316.06,82.25,95.24,130.69,25.56
332.73,38.35,187.37,0.89,36.34
408.41,128.35,139.47,15.67,20.78
522.1,24.45,45.23,9.89,3.78
235.71,181.15,234.6,28.34,62.01
240.49,450.65,114.91,70.68,55.9
152.14,196.15,354.51,41.34,6.78
481.2,13.9,88.35,-1.11,3.78
83.46,600.1,149.36,213.15,42.12
405.41,48.9,163.92,1.89,6.0
420.97,28.9,124.8,12.78,8.67
198.48,619.55,207.15,10.67,54.79
426.86,-30.0,136.58,3.89,23.67
324.95,127.8,209.93,18.78,16.78
146.36,248.95,268.83,7.89,94.13
222.71,146.7,136.58,94.13,105.24
336.73,-35.55,227.71,1.89,13.78
449.53,-70.0,115.8,6.78,0.0
373.85,153.35,165.92,10.78,0.78
197.37,102.25,280.61,11.67,49.9
87.24,99.45,379.85,9.78,83.24
231.6,98.9,246.38,34.34,47.9
239.38,156.7,228.82,23.56,57.9
108.91,677.9,134.58,86.35,140.58
450.64,43.9,116.8,1.89,7.78
371.96,128.35,169.81,-7.0,15.67
157.03,182.25,292.39,52.12,59.12
212.04,447.3,191.48,31.34,85.57
340.73,334.5,128.69,65.9,7.78
445.64,39.45,112.91,8.78,15.78
142.47,393.95,291.61,32.34,72.79
240.6,524.55,176.81,34.34,42.23
268.16,225.05,217.82,36.23,9.78
381.07,152.8,178.7,4.78,5.89
175.81,108.35,261.27,19.67,119.58
341.73,98.35,220.93,4.89,21.78
298.61,146.15,118.91,64.79,84.46
536.1,-0.55,39.12,0.0,-0.11
62.01,505.1,263.94,83.35,60.68
26.34,760.7,169.7,159.92,51.01
440.86,-15.55,124.58,10.89,13.78
378.74,33.35,140.47,43.12,3.89
404.63,128.35,137.36,23.67,14.67
471.09,23.9,87.24,-3.0,-5.11
59.01,506.75,118.91,242.49,77.35
227.82,102.25,219.82,67.68,37.34
478.98,24.45,91.35,10.89,11.89
362.29,-25.55,148.25,52.12,30.45
460.42,97.25,56.79,9.89,33.45
520.32,-0.55,57.9,7.0,1.89
84.35,1363.6,73.68,50.01,83.24
212.04,549.55,96.35,65.79,104.91
345.73,176.7,206.15,5.89,11.89
299.28,167.25,162.92,28.34,51.01
431.86,133.9,111.8,9.78,4.78
30.34,683.45,98.13,71.68,249.16
302.39,510.1,131.47,22.67,31.45
120.58,298.95,276.72,84.46,40.45
56.79,555.65,193.48,74.57,160.14
407.41,59.45,125.69,11.67,33.34
245.27,427.85,138.36,32.45,99.35
231.49,565.65,192.37,10.78,35.23
272.94,44.45,220.04,44.23,61.79
433.08,4.45,135.58,20.56,-0.11
379.74,177.25,129.69,21.67,20.45
486.76,10.0,86.35,-5.0,13.89
96.02,372.85,258.05,65.79,68.57
236.49,202.25,214.04,47.12,49.9
84.35,34.45,152.14,124.58,212.04
312.06,226.7,175.59,36.45,12.56
70.68,288.95,347.4,22.67,92.46
120.58,641.8,128.69,153.14,39.12
415.3,70.0,160.14,-5.0,15.67
295.61,-25.0,274.94,15.67,0.78
487.87,-11.1,73.57,7.89,14.89
160.03,73.35,129.69,116.91,170.7
176.7,506.2,207.04,78.46,35.56
370.18,93.9,187.48,11.89,28.67
184.37,172.8,296.5,9.89,68.68
296.5,10.0,156.14,85.46,57.9
85.24,554.0,307.39,46.12,24.45
316.95,33.9,189.59,41.34,39.45
352.29,148.35,181.59,3.89,22.45
460.31,9.45,55.12,55.01,-0.22
287.72,840.15,85.46,67.79,10.0
298.61,34.45,153.14,78.46,63.9
444.75,-70.0,130.47,6.89,-4.11
273.05,185.6,162.92,0.0,75.79
238.71,367.85,242.49,30.56,13.67
270.94,235.6,187.59,27.45,48.9
0.0,304.5,239.49,53.01,62.01
443.86,39.45,125.8,11.67,8.78
151.36,284.5,250.27,101.02,18.45
225.71,371.75,168.7,40.23,58.01
373.07,281.15,84.35,43.12,41.23
545.99,4.45,45.12,-4.0,5.0
63.9,206.15,122.69,183.48,165.81
478.2,-20.55,102.13,7.0,6.89
64.68,13.35,440.86,28.56,30.23
129.58,466.75,322.06,33.45,23.56
132.69,165.6,137.36,129.69,164.14
469.2,93.35,84.35,-0.11,16.89
275.05,82.25,240.6,34.45,44.34
209.26,162.8,260.27,28.45,93.46
133.36,349.5,227.71,69.57,83.35
371.18,84.45,169.7,20.67,19.56
410.41,104.45,114.8,15.67,42.23
345.73,44.45,227.71,0.89,19.67
19.56,771.8,89.24,228.71,115.02
487.76,60.0,86.35,1.0,-8.0
425.86,128.35,108.13,15.67,28.67
294.5,487.3,182.59,20.67,0.78
224.82,172.8,320.17,-7.0,28.45
156.25,0.0,237.71,12.89,110.13
19.45,131.15,133.58,94.24,298.5
450.42,18.9,86.35,14.78,26.67
496.65,48.9,52.9,12.67,-7.0
472.31,74.45,105.02,0.89,0.89
412.3,50.0,155.14,5.78,0.78
343.62,266.15,199.37,4.78,15.89
445.86,9.45,115.91,16.56,9.78
449.75,29.45,137.47,7.0,0.89
352.29,49.45,214.15,9.89,8.89
348.51,117.25,163.92,23.45,13.67
441.86,88.9,119.91,5.0,35.45
140.47,956.3,158.14,41.34,59.79
315.28,3.9,238.49,24.67,15.78
97.35,411.2,224.71,99.02,65.57
447.53,152.8,76.57,23.56,8.78
412.3,98.35,119.69,22.67,26.67
255.16,43.9,226.71,87.46,10.89
276.72,136.7,50.9,199.37,11.67
330.73,428.4,111.91,63.9,21.78
226.6,89.45,291.5,26.45,15.56
67.79,682.9,223.93,173.7,1.0
427.86,79.45,127.58,4.78,2.89
227.82,289.5,108.02,82.57,123.69
177.59,212.25,259.16,92.35,32.34
452.53,79.45,106.13,11.78,12.67
427.19,-0.55,122.58,29.56,28.67
208.93,152.8,265.16,35.23,58.12
115.91,688.45,189.59,53.01,117.91
139.47,387.3,240.38,99.13,11.67
198.48,83.9,159.14,83.57,151.03
501.65,39.45,52.9,19.67,13.89
202.26,180.6,264.16,26.56,63.01
210.93,137.25,114.02,127.58,117.02
116.02,255.6,163.81,60.79,208.26
62.79,436.75,360.4,12.78,79.68
214.15,322.85,210.15,30.56,65.57
230.71,378.95,187.59,22.56,85.35
148.25,487.3,210.93,6.78,141.58
353.4,281.15,128.47,62.9,12.89
261.27,147.8,256.27,32.45,27.45
468.2,60.0,91.24,5.89,6.67
75.68,730.7,83.57,201.15,90.46
366.18,250.6,59.79,42.34,86.46
427.08,98.35,117.8,12.89,32.56
107.13,107.8,171.92,184.48,103.91
186.48,246.15,306.17,41.34,8.78
192.37,349.5,145.14,81.46,111.13
440.75,156.15,90.35,-3.0,29.67
186.7,716.8,146.36,75.68,60.9
220.82,338.95,213.93,75.57,-1.0
322.06,236.15,139.47,42.12,54.12
375.07,177.25,121.69,49.01,9.78
256.38,253.95,195.37,65.79,14.67
282.83,285.05,205.15,22.45,31.56
475.98,-1.1,74.68,12.78,16.78
291.39,171.7,224.82,29.45,5.89
457.42,24.45,113.8,6.89,7.0
219.04,132.8,304.39,38.34,30.56
382.74,48.9,157.92,26.56,10.0
140.47,560.1,247.49,11.89,98.13
220.93,104.45,320.17,34.34,10.67
397.74,108.9,150.14,18.67,31.56
460.31,102.8,80.46,13.67,9.0
357.51,226.7,161.92,2.0,34.23
357.51,9.45,201.37,19.67,18.56
372.18,230.6,111.8,48.23,23.67
344.4,236.15,175.81,5.89,6.78
478.09,39.45,107.13,11.89,15.89
442.75,92.8,76.46,6.89,31.34
206.15,222.25,258.27,12.89,94.24
360.4,216.15,139.47,11.67,48.23
373.18,-11.1,200.37,7.89,5.67
398.74,103.35,105.13,30.34,52.12
505.65,55.0,74.68,11.78,7.89
545.66,55.0,37.34,-6.0,6.0
199.37,333.4,272.83,40.12,-7.0
186.37,314.5,259.05,64.68,3.89
369.96,88.9,141.47,44.23,22.45
286.83,-6.1,175.7,52.9,56.79
78.46,387.3,193.48,141.36,82.24
320.17,325.05,145.36,73.57,6.89
502.65,-40.0,83.46,3.0,6.0
422.97,-20.55,119.8,12.89,40.45
412.41,58.9,142.36,18.67,18.78
232.6,172.8,229.6,53.01,34.23
313.95,152.8,216.93,4.89,24.67
401.52,89.45,151.14,17.67,21.78
37.45,1104.1,168.92,-3.0,165.81
523.32,0.0,69.79,-5.0,-7.0
533.21,-35.0,64.9,-5.0,10.89
536.1,-35.55,53.12,2.89,12.0
97.24,506.2,293.39,16.78,84.35
178.7,271.15,244.49,75.68,61.9
381.85,177.8,130.58,5.78,43.23
54.79,480.1,81.57,166.92,174.59
350.29,18.35,172.7,19.67,8.78
162.92,299.5,240.38,53.9,67.9
214.15,278.4,216.93,95.24,9.0
56.79,397.3,203.26,167.81,72.57
414.08,177.25,93.13,29.45,8.89
492.87,24.45,79.46,-1.11,16.89
393.63,133.35,161.03,2.89,0.78
379.96,300.05,124.8,10.89,37.34
396.74,102.8,101.13,23.67,70.79
425.86,206.7,86.46,9.89,40.45
48.23,489.55,220.93,198.37,14.56
227.82,136.15,249.27,28.45,29.23
314.95,131.7,177.59,16.78,39.34
239.6,751.8,88.24,16.67,111.13
279.61,437.3,159.03,36.34,14.67
166.7,310.05,298.5,29.45,45.34
242.6,381.75,212.04,40.12,16.89
232.82,285.05,216.93,41.12,38.12
348.51,206.15,182.59,9.89,9.78
410.3,117.25,95.35,37.34,22.56
511.54,63.9,54.9,12.78,10.89
350.29,14.45,195.37,12.67,15.89
83.35,126.7,327.84,64.9,86.57
415.41,-15.55,167.92,-1.11,-3.11
26.34,917.4,68.68,279.72,22.78
405.52,58.9,156.03,14.78,4.89
436.97,133.35,96.13,17.78,29.34
379.85,177.25,160.92,-2.0,18.78
434.86,99.45,133.47,11.89,9.89
280.72,147.8,251.27,-0.11,15.56
257.16,461.75,151.14,17.56,66.79
93.13,72.8,354.29,26.45,66.57
409.52,24.45,152.03,10.67,13.89
371.96,212.25,130.47,29.45,11.56
276.83,48.9,287.72,6.78,16.89
332.84,63.9,189.48,34.34,18.56
197.48,280.6,276.94,51.12,38.34
242.38,619.0,158.03,7.78,53.01
359.4,57.8,163.92,26.45,17.78
220.04,167.25,268.83,28.34,39.34
220.82,290.6,245.49,29.45,43.12
279.61,166.15,179.7,67.79,29.67
295.39,-10.55,178.7,58.01,48.01
245.6,107.25,225.93,29.34,79.68
292.5,265.6,218.04,30.45,19.78
198.48,318.4,214.15,86.46,33.23
226.71,285.05,121.58,103.02,59.68
168.03,603.45,207.26,70.68,18.45
279.83,240.6,214.04,11.78,50.23
54.9,406.2,65.79,112.02,256.05
54.79,1083.55,52.12,211.93,22.45
130.69,634.0,221.71,91.24,28.56
459.31,143.35,83.46,7.78,1.89
113.8,540.1,240.38,101.13,7.67
441.86,-15.55,121.58,-5.0,22.67
57.12,236.15,79.57,193.48,241.6
313.06,182.25,181.59,58.01,3.89
255.38,177.8,261.16,28.34,11.56
