Customer Identity,First Policy´s Year,Brithday Year,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
17,1991,1989,2 - High School,2437,1,1,100.58,0.89,119.80,647.35,168.92,125.58,37.23
18,1981,1970,3 - BSc/MSc,2728,4,1,78.91,0.85,446.64,107.80,86.35,3.89,27.56
19,1981,1982,1 - Basic,1414,3,1,230.38,0.71,313.17,373.40,121.80,14.78,72.57
20,1988,1962,4 - PhD,2751,1,1,352.96,0.36,402.41,9.45,125.69,24.45,30.56
21,1986,1986,4 - PhD,1704,4,1,373.73,0.39,329.84,65.00,221.93,3.89,33.34
22,1977,1958,2 - High School,,3,1,111.37,0.80,407.52,111.70,100.13,24.67,30.34
23,1976,1986,2 - High School,1495,1,1,-89.79,1.08,209.04,308.95,192.48,64.79,54.90
24,1998,1961,2 - High School,2870,4,1,290.05,0.64,222.04,329.50,248.38,48.01,33.56
25,1988,1952,3 - BSc/MSc,3201,4,0,108.13,0.81,420.30,128.35,135.58,15.67,4.78
26,1974,1944,4 - PhD,3776,2,0,376.30,0.41,383.74,103.90,154.14,17.56,15.78
27,1978,1937,4 - PhD,4281,3,0,430.86,0.38,330.84,162.80,228.82,-5.00,22.78
28,1979,1942,4 - PhD,3619,1,0,-7.22,0.97,449.75,58.90,112.91,17.78,9.78
29,1995,1952,3 - BSc/MSc,3639,4,0,264.17,0.50,301.28,18.90,258.05,-4.00,-0.11
30,1980,1972,3 - BSc/MSc,2660,3,0,2.00,0.96,524.21,25.00,54.90,7.00,-5.00
31,1988,1975,2 - High School,2148,4,1,427.76,0.19,483.09,-15.00,92.24,3.89,-5.11
32,1984,1953,2 - High School,3490,4,0,240.16,0.69,320.95,335.05,146.25,46.12,9.67
33,1989,1970,3 - BSc/MSc,2126,4,1,-2.44,0.96,473.09,19.45,89.24,4.78,7.89
34,1987,1979,2 - High School,1601,1,1,-5.55,0.97,373.96,19.45,179.70,22.56,10.89
35,1979,1945,3 - BSc/MSc,3662,3,0,336.07,0.48,320.84,123.35,131.58,40.23,72.68
36,1990,1966,2 - High School,2420,3,0,53.80,0.89,241.49,190.60,125.80,111.80,65.79
37,1982,1972,2 - High School,2401,4,1,7.24,0.94,320.95,-25.55,145.25,26.56,84.35
38,1976,1955,2 - High School,3343,1,0,-31.78,1.01,495.87,68.90,68.57,3.00,9.78
39,1985,1941,2 - High School,3985,3,0,-14.22,0.98,104.02,142.80,357.18,53.01,40.23
40,1980,1938,3 - BSc/MSc,3858,1,0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78
41,1994,1995,2 - High School,1177,4,1,121.36,0.84,52.01,455.65,135.47,146.36,148.03
42,1988,1955,3 - BSc/MSc,3256,1,1,402.63,0.47,265.05,270.60,130.47,108.02,25.34
43,1994,1968,2 - High School,2116,4,1,710.80,0.19,323.84,383.40,168.92,3.00,25.56
44,1994,1982,2 - High School,1353,2,1,-77.01,1.07,159.14,249.50,284.61,52.01,23.34
45,1985,1990,3 - BSc/MSc,1065,1,1,-128.68,1.19,111.80,-35.00,208.26,224.71,44.23
46,1991,1984,3 - BSc/MSc,1937,3,1,624.34,0.38,139.58,540.10,180.59,106.13,75.79
47,1976,1986,3 - BSc/MSc,1219,4,1,-94.90,1.08,269.94,300.60,143.25,59.79,69.90
48,1977,1938,2 - High School,4233,3,0,279.28,0.63,254.38,265.60,209.04,72.68,22.78
49,1985,1974,3 - BSc/MSc,2381,3,1,-132.88,1.20,468.09,-45.55,92.24,1.89,14.89
50,1986,1978,2 - High School,2660,1,1,-21.11,0.99,396.74,18.90,166.92,16.78,3.89
51,1983,1979,3 - BSc/MSc,1569,4,1,420.64,0.32,435.75,102.25,105.02,4.78,9.89
52,1982,1966,3 - BSc/MSc,3234,4,1,-14714.08,25.36,557.44,20.00,29.56,5.00,-9.00
53,1986,1984,3 - BSc/MSc,1960,3,1,-104.21,1.14,360.40,-40.55,212.04,12.78,10.89
54,1983,1980,2 - High School,1148,1,1,-11.33,0.98,177.59,236.70,295.61,44.12,30.45
55,1993,1946,3 - BSc/MSc,3441,3,0,264.50,0.59,305.17,157.25,227.60,12.89,2.78
56,1995,1966,3 - BSc/MSc,2885,2,1,-15.22,0.98,559.66,44.45,17.56,-1.11,10.89
57,1995,1965,3 - BSc/MSc,2234,4,1,540.55,0.13,569.55,30.00,36.45,6.00,10.00
58,1992,1949,2 - High School,3538,4,0,294.94,0.66,207.93,452.30,155.25,69.68,62.68
59,1978,1956,2 - High School,2920,2,1,448.98,0.41,286.61,260.05,168.92,72.68,16.78
60,1997,1984,2 - High School,2195,3,1,120.48,0.81,341.73,249.50,84.35,52.90,51.12
61,1983,1943,3 - BSc/MSc,4109,4,1,226.93,0.68,278.83,246.15,217.82,30.34,5.78
62,1993,1978,2 - High School,1823,1,1,224.50,0.68,304.17,249.50,165.81,36.34,15.78
63,1981,1957,3 - BSc/MSc,3762,3,1,-67.32,1.08,464.20,-25.55,89.24,3.89,8.78
64,1987,1967,2 - High School,3259,4,1,314.51,0.61,364.18,343.95,86.46,23.45,48.12
65,1982,1973,3 - BSc/MSc,2294,3,0,-124.32,1.19,452.53,-45.55,104.91,17.78,-4.11
66,1998,1941,3 - BSc/MSc,3760,1,0,132.27,0.78,276.83,175.60,261.27,6.89,-6.11
67,1984,1968,3 - BSc/MSc,2544,3,1,-25.00,1.00,366.07,78.35,165.81,16.56,7.89
68,1989,1984,2 - High School,1866,1,1,-90.01,1.06,152.03,530.65,202.26,32.34,97.35
69,1983,1977,2 - High School,1399,4,1,476.65,0.33,330.73,186.70,211.15,,15.78
70,1989,1984,3 - BSc/MSc,2119,4,1,316.98,0.36,384.63,-40.55,151.03,20.56,17.89
71,1994,1952,2 - High School,3382,2,0,83.90,0.84,183.48,108.90,252.38,65.68,79.68
72,1985,1989,3 - BSc/MSc,1159,4,1,195.82,0.72,150.03,236.70,286.61,70.79,33.23
73,1990,1951,3 - BSc/MSc,3206,4,1,-25.00,1.00,213.15,217.25,242.60,56.90,59.90
74,1993,1956,2 - High School,2336,1,1,272.61,0.63,246.49,264.50,223.71,51.12,20.78
75,1985,1980,2 - High School,1440,1,1,-25.00,1.00,436.75,65.00,140.47,12.89,0.89
76,1996,1956,3 - BSc/MSc,2934,4,1,234.83,0.66,289.50,211.70,217.82,22.67,29.67
77,1996,1949,3 - BSc/MSc,4196,4,0,747.03,0.20,183.48,471.75,190.37,43.12,73.68
78,1984,1962,2 - High School,3284,4,1,74.45,0.85,290.61,99.45,180.59,51.90,50.01
79,1978,1951,4 - PhD,3091,3,1,-50.31,1.04,429.86,-6.10,141.47,6.89,-3.11
80,1978,1948,3 - BSc/MSc,3901,4,0,352.96,0.42,342.73,83.35,150.25,48.12,30.23
81,1980,1961,1 - Basic,2318,4,1,14.34,0.95,355.51,304.50,136.58,39.34,21.67
82,1986,1982,2 - High School,1431,3,1,274.19,0.46,368.07,-25.55,163.81,29.56,17.78
83,1992,1962,2 - High School,3234,2,1,308.31,0.35,463.31,-65.00,104.02,0.89,5.78
84,1995,1985,3 - BSc/MSc,1792,1,1,423.53,0.33,291.39,132.25,209.93,30.56,5.67
85,1997,1959,2 - High School,2656,3,1,-47.67,1.03,238.49,221.70,244.49,22.67,64.01
86,1976,1968,3 - BSc/MSc,2479,3,0,317.83,0.61,399.63,344.50,114.91,7.00,8.67
87,1994,1988,3 - BSc/MSc,1631,4,1,-19.22,0.99,326.06,307.85,166.81,7.89,5.78
88,1997,1970,3 - BSc/MSc,2423,2,1,-46.00,1.03,581.33,55.00,17.67,-6.00,-1.00
89,1995,1983,3 - BSc/MSc,1779,3,1,-139.11,1.21,193.26,-30.55,291.50,65.68,12.67
90,1989,1943,3 - BSc/MSc,3860,4,0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78
91,1991,1984,3 - BSc/MSc,1416,3,1,402.18,0.40,282.61,163.35,214.04,38.23,19.45
92,1993,1939,1 - Basic,3903,3,0,238.94,0.64,263.94,196.15,221.93,31.34,29.56
93,1987,1953,3 - BSc/MSc,2976,1,1,-66.12,1.06,324.84,83.35,159.92,32.45,41.12
94,1982,1979,3 - BSc/MSc,1986,4,1,400.86,0.44,393.63,192.80,136.47,11.67,20.56
95,1992,1984,4 - PhD,1270,2,1,174.37,0.71,230.82,126.70,263.05,31.45,25.34
96,1976,1986,3 - BSc/MSc,2668,4,1,-25.00,1.00,296.50,70.00,200.15,60.79,8.67
97,1992,1964,3 - BSc/MSc,2831,4,1,-91.00,1.12,520.10,-20.00,45.01,-1.00,-8.00
98,1996,1938,2 - High School,3924,4,0,120.47,0.81,169.81,244.50,224.82,26.56,118.91
99,1988,1950,1 - Basic,3870,1,1,179.26,0.68,204.26,82.80,110.02,185.48,59.68
100,1984,1967,2 - High School,2805,1,1,14.23,0.94,427.08,142.80,104.13,1.89,37.34
101,1977,1960,2 - High School,2744,4,1,-55.56,1.05,424.97,69.45,133.47,23.67,6.89
102,1981,1956,1 - Basic,2694,3,1,654.90,0.39,62.68,648.45,210.15,31.45,156.03
103,1981,1980,2 - High School,2071,4,1,-25.00,1.00,190.59,317.85,188.37,6.89,118.58
104,1975,1952,3 - BSc/MSc,3194,2,0,257.84,0.53,234.49,48.35,219.82,67.68,28.45
105,1996,1979,2 - High School,2342,1,1,46.12,0.89,349.40,73.90,170.92,37.23,2.78
106,1986,1988,3 - BSc/MSc,2019,4,1,-2.65,0.97,89.24,82.25,408.41,19.56,40.34
107,1979,1948,3 - BSc/MSc,3480,3,0,201.82,0.71,297.61,240.60,218.82,13.78,14.67
108,1989,1958,2 - High School,3673,3,1,133.81,0.77,292.61,108.35,117.91,12.67,146.14
109,1991,1995,1 - Basic,764,4,1,71.24,0.93,79.68,912.95,97.24,213.04,16.56
110,1980,1976,2 - High School,2126,3,1,317.29,0.54,368.29,158.35,189.37,22.67,-1.11
111,1990,1966,3 - BSc/MSc,2039,4,1,385.66,0.25,482.09,-35.55,99.13,1.00,-0.11
112,1991,1950,3 - BSc/MSc,3507,3,0,343.52,0.43,330.95,72.80,108.91,35.23,99.35
113,1997,1979,4 - PhD,2354,1,1,-8719.04,15.65,518.32,4.45,55.90,3.89,10.89
114,1993,1971,3 - BSc/MSc,2257,3,1,231.49,0.66,285.83,182.25,231.82,29.34,29.56
115,1992,1973,3 - BSc/MSc,2059,4,1,344.30,0.49,405.30,187.25,136.58,9.78,-12.00
116,1988,1975,2 - High School,1834,3,1,330.51,0.48,359.29,127.25,187.59,2.89,0.89
117,1994,1966,3 - BSc/MSc,2684,1,1,498.54,0.14,506.54,10.00,71.68,7.89,14.89
118,1979,1954,2 - High School,3128,4,1,283.95,0.61,279.61,251.70,178.70,29.34,60.90
119,1978,1960,2 - High School,2181,3,1,525.88,0.41,142.47,437.30,246.49,43.12,70.46
120,1986,1948,3 - BSc/MSc,3650,3,0,305.05,0.62,324.95,330.05,159.14,31.34,26.56
121,1989,1984,2 - High School,1444,1,1,422.18,0.56,311.17,511.75,109.02,8.89,64.57
122,1997,1956,3 - BSc/MSc,2402,4,1,290.17,0.57,273.94,181.70,199.15,29.45,41.23
123,1997,1989,1 - Basic,1518,1,1,643.24,0.18,286.50,294.50,78.57,87.24,68.68
124,1991,1959,1 - Basic,2957,1,1,68.35,0.89,230.71,343.95,152.03,93.35,36.23
125,1980,1969,3 - BSc/MSc,2614,1,1,319.31,0.35,442.64,-50.00,130.69,11.89,-5.11
126,1991,1990,2 - High School,1412,1,1,180.04,0.64,240.38,3.90,227.82,66.68,35.34
127,1977,1967,2 - High School,1853,4,1,-21.00,0.99,478.09,108.90,94.35,9.89,13.89
128,1978,1952,2 - High School,3481,3,0,-19.11,1.00,132.58,750.15,168.70,71.79,65.90
129,1982,1946,3 - BSc/MSc,3971,1,0,23.80,0.91,202.04,-55.00,173.81,98.24,106.02
130,1979,1953,4 - PhD,3272,1,1,93.25,0.82,437.75,87.80,83.46,37.34,6.89
131,1989,1977,2 - High School,1615,4,1,317.06,0.49,219.04,113.35,311.06,10.78,20.45
132,1997,1968,2 - High School,2328,2,1,518.10,0.12,489.87,44.45,74.57,5.00,3.78
133,1994,1982,3 - BSc/MSc,1423,4,1,-67.23,1.06,167.92,171.70,347.51,21.56,20.67
134,1978,1943,3 - BSc/MSc,3577,2,0,100.79,0.82,243.27,138.35,237.71,35.34,47.90
135,1976,1977,4 - PhD,1810,2,1,543.21,0.14,490.98,79.45,86.35,-1.11,3.89
136,1997,1988,3 - BSc/MSc,2176,4,1,-10198.91,14.80,297.61,162.80,143.36,136.47,-3.00
137,1988,1972,3 - BSc/MSc,2516,4,0,241.72,0.65,232.49,225.60,256.27,41.12,5.89
138,1994,1953,2 - High School,3799,4,0,456.76,0.31,354.51,127.25,105.13,104.02,9.89
139,1979,1976,2 - High School,2538,2,1,149.59,0.69,194.26,305.60,,37.34,17.67
140,1978,1957,2 - High School,3221,1,1,649.67,0.25,320.17,349.50,193.48,30.45,5.00
141,1987,1959,2 - High School,2765,1,1,511.42,0.41,285.83,364.50,149.36,73.57,40.34
142,1997,1951,4 - PhD,3097,1,0,-12.11,0.98,391.63,152.25,131.47,18.67,5.78
143,1984,1986,4 - PhD,1266,2,1,210.71,0.66,213.04,138.35,287.50,19.56,42.23
144,1996,1990,3 - BSc/MSc,,4,1,-42.45,1.02,146.36,353.95,220.04,121.80,42.01
145,1996,1980,2 - High School,1807,4,1,-44.78,1.03,345.73,18.90,180.48,35.34,19.78
146,1983,1986,1 - Basic,2554,1,1,-96.11,1.12,144.36,-11.10,381.85,47.23,12.78
147,1992,1983,3 - BSc/MSc,2342,4,1,72.80,0.85,272.72,97.80,177.70,48.12,57.79
148,1979,1954,2 - High School,2951,3,1,374.41,0.43,116.69,123.90,173.81,131.47,151.25
149,1982,1966,3 - BSc/MSc,2649,3,1,521.99,0.09,522.10,15.00,44.12,9.89,7.89
150,1989,1994,1 - Basic,984,4,1,255.71,0.63,64.90,197.25,29.56,18.56,451.53
151,1993,1948,2 - High School,3686,4,0,463.54,0.47,264.94,426.75,167.81,30.45,31.34
152,1977,1984,2 - High School,1146,3,1,433.97,0.48,165.03,358.95,241.38,6.89,106.91
153,1981,1989,2 - High School,1753,4,0,10.34,0.97,125.80,785.70,79.57,136.47,101.13
154,1990,1981,3 - BSc/MSc,1684,3,1,-40.55,1.03,423.08,-15.55,129.47,8.78,11.78
155,1997,1967,3 - BSc/MSc,2333,2,0,477.21,0.12,512.32,-10.00,58.90,3.89,4.00
156,1986,1992,3 - BSc/MSc,1354,3,0,589.33,0.43,100.13,614.55,321.84,-0.11,48.23
157,1984,1949,2 - High School,3825,4,0,130.04,0.78,321.95,175.60,189.59,20.56,3.78
158,1988,1982,3 - BSc/MSc,1181,3,1,343.07,0.44,395.52,93.35,135.36,12.78,14.67
159,1976,1958,3 - BSc/MSc,3044,2,1,413.31,0.22,484.98,-35.00,71.79,26.56,11.67
160,1996,1974,3 - BSc/MSc,2234,2,1,-52.00,1.05,497.76,-15.00,91.35,7.89,-12.00
161,1983,1972,3 - BSc/MSc,3082,4,1,509.11,0.06,551.66,-15.55,28.45,7.00,-3.00
162,1975,1977,3 - BSc/MSc,2285,1,0,471.21,0.25,349.40,87.80,142.47,9.78,68.79
163,1984,1976,3 - BSc/MSc,1652,1,1,423.64,0.30,429.97,63.35,124.69,18.67,1.89
164,1991,1973,2 - High School,2412,4,1,103.02,0.81,416.08,128.35,127.47,7.89,-4.11
165,1997,1985,3 - BSc/MSc,1402,2,1,269.61,0.51,282.72,38.35,249.38,18.56,6.67
166,1981,1974,3 - BSc/MSc,2155,4,0,446.08,0.26,429.97,64.45,117.80,12.67,10.67
167,1995,1951,1 - Basic,3617,4,1,493.43,0.52,120.80,599.00,160.14,128.69,80.57
168,1996,1941,3 - BSc/MSc,3994,2,0,188.93,0.67,228.60,97.25,284.61,14.67,25.67
169,1977,1997,2 - High School,927,4,1,205.16,0.72,158.03,313.40,245.38,93.13,9.89
170,1988,1953,3 - BSc/MSc,3196,3,0,211.84,0.58,249.38,-10.55,311.17,4.78,3.78
171,1984,1941,1 - Basic,3916,4,0,455.87,0.40,182.70,274.50,212.93,23.67,106.80
172,1990,1989,3 - BSc/MSc,1086,4,1,-165680.42,256.20,378.07,78.90,166.81,6.89,18.45
173,1987,1960,2 - High School,2609,4,1,437.31,0.29,342.51,88.35,176.81,7.78,39.23
174,1993,1966,2 - High School,2902,2,1,5.34,0.96,256.05,342.85,132.47,40.34,70.68
175,1990,1979,4 - PhD,1664,1,1,38.01,0.90,458.31,63.90,99.24,1.89,2.78
176,1977,1966,2 - High School,2854,4,1,360.63,0.32,389.85,-5.00,151.03,24.45,5.78
177,1985,1968,3 - BSc/MSc,3198,4,0,-57.90,1.05,236.49,88.90,230.82,57.90,63.90
178,1987,1963,2 - High School,2103,3,1,453.20,0.28,455.42,78.35,104.13,3.00,19.78
179,1988,1976,3 - BSc/MSc,1979,3,1,74.35,0.86,324.06,113.35,216.93,11.67,25.67
180,1984,1982,2 - High School,1739,3,0,284.07,0.60,99.02,263.95,158.03,45.12,209.04
181,1980,1944,3 - BSc/MSc,3234,3,0,61.13,0.91,162.81,397.85,242.38,76.68,38.45
182,1982,1941,2 - High School,4091,1,0,-25.66,1.00,263.05,363.40,220.93,28.56,-0.22
183,1995,1991,2 - High School,826,1,0,133.92,0.86,158.92,634.00,207.26,73.57,23.45
184,1977,1973,3 - BSc/MSc,2195,2,1,465.65,0.22,431.86,59.45,129.58,6.89,-0.22
185,1993,1984,2 - High School,2419,4,1,-62.23,1.07,,253.95,230.60,5.89,43.12
186,1983,1982,3 - BSc/MSc,1020,1,1,426.64,0.27,451.64,53.35,101.02,1.89,14.67
187,1993,1999,1 - Basic,1247,2,1,-128.24,1.07,33.23,1026.30,82.57,75.68,212.15
188,1984,1982,4 - PhD,1924,4,1,422.99,0.19,461.20,-10.55,92.13,3.89,7.89
189,1977,1951,3 - BSc/MSc,3035,3,1,201.82,0.79,233.71,560.65,200.26,6.89,56.01
190,1986,1954,3 - BSc/MSc,3057,2,1,9.34,0.94,314.95,24.45,129.58,9.89,120.69
191,1978,1971,3 - BSc/MSc,2620,4,1,18.34,0.93,532.88,34.45,29.34,11.89,-1.00
192,1996,1994,1 - Basic,1486,2,0,872.07,0.12,106.02,587.90,76.46,22.45,225.60
193,1978,1952,3 - BSc/MSc,3544,4,1,436.42,0.25,421.30,34.45,150.14,-6.00,17.67
194,1991,1975,4 - PhD,2549,2,1,-25.00,1.00,491.87,39.45,80.35,5.89,6.00
195,1990,1978,3 - BSc/MSc,2349,4,1,-101.00,1.14,469.31,-65.00,115.80,,11.00
196,1986,1958,3 - BSc/MSc,3115,4,0,379.63,0.39,346.62,68.90,199.37,20.67,31.56
197,1994,1943,3 - BSc/MSc,3806,4,1,-51.54,1.05,499.76,-25.55,60.90,22.56,2.00
198,1990,1945,4 - PhD,3746,3,0,168.71,0.66,211.93,-5.55,289.50,58.01,12.67
199,1995,1955,3 - BSc/MSc,3333,4,1,-30.78,1.01,488.87,8.90,64.68,5.78,7.89
200,1996,1958,3 - BSc/MSc,3221,4,1,278.38,0.62,290.39,271.15,195.26,9.89,32.23
201,1989,1985,3 - BSc/MSc,1938,1,1,303.09,0.38,390.52,-30.55,167.81,-1.11,-0.11
202,1991,1953,1 - Basic,2686,3,1,263.62,0.62,344.73,244.50,128.47,48.01,3.89
203,1989,1960,3 - BSc/MSc,2544,4,1,183.26,0.84,163.03,927.40,159.92,45.23,34.34
204,1996,1985,2 - High School,1592,3,1,50.90,0.88,185.70,53.35,267.94,67.79,42.01
205,1983,1961,2 - High School,2782,1,1,-122.24,1.13,314.28,200.05,134.36,34.23,63.01
206,1976,1983,2 - High School,1968,3,1,328.73,0.46,343.62,63.90,170.81,30.34,40.45
207,1978,1952,2 - High School,2900,1,0,260.72,0.64,178.59,258.95,240.49,89.46,17.67
208,1997,1945,3 - BSc/MSc,3960,3,0,45.02,0.89,313.28,58.35,245.49,11.67,12.89
209,1992,1965,2 - High School,3032,4,1,410.86,0.43,263.27,215.60,213.04,24.56,43.01
210,1985,1984,2 - High School,873,1,1,63.35,0.89,181.59,275.60,262.05,-3.00,84.24
211,1984,1962,3 - BSc/MSc,2343,1,1,431.33,0.18,508.43,-30.55,65.90,5.78,9.00
212,1993,1968,3 - BSc/MSc,2400,4,1,-60.00,1.06,543.77,50.00,39.23,-7.00,-7.00
213,1986,1960,3 - BSc/MSc,3083,4,1,496.65,0.21,444.64,84.45,126.69,10.89,-6.11
214,1996,1970,1 - Basic,2439,1,1,-146.91,1.21,263.16,-5.00,215.93,48.12,68.79
215,1993,1976,4 - PhD,1609,1,1,443.09,0.24,477.09,35.00,101.02,-4.00,3.00
216,1984,1967,3 - BSc/MSc,2106,1,1,324.40,0.58,368.96,281.15,139.47,34.45,14.89
217,1992,1958,3 - BSc/MSc,2736,3,1,391.20,0.32,382.85,33.35,178.81,14.67,2.00
218,1993,1990,3 - BSc/MSc,1363,4,1,312.73,0.45,299.39,39.45,221.93,24.45,23.34
219,1991,1967,2 - High School,3012,4,1,57.23,0.88,485.87,94.45,84.46,3.89,-6.11
220,1985,1993,2 - High School,1342,4,1,31.01,0.93,189.59,240.60,249.38,56.01,63.90
221,1990,1948,2 - High School,4031,1,1,249.05,0.66,320.17,264.50,154.25,11.78,57.90
222,1984,1944,4 - PhD,3738,3,1,-25.00,1.00,533.10,84.45,43.12,0.89,5.89
223,1993,1971,3 - BSc/MSc,1934,4,1,183.92,0.72,425.86,216.70,87.24,8.89,16.67
224,1983,1967,3 - BSc/MSc,1757,4,0,436.53,0.40,436.97,187.80,114.91,5.78,18.78
225,1985,1976,2 - High School,2746,1,1,511.54,0.23,401.41,123.35,134.58,12.78,24.56
226,1978,1968,3 - BSc/MSc,2469,1,1,-47.00,1.04,532.99,-15.00,47.01,4.00,8.00
227,1977,1947,3 - BSc/MSc,3643,2,0,84.02,0.84,317.17,93.35,209.93,34.45,18.78
228,1981,1982,2 - High School,1607,4,1,807.72,0.00,333.95,323.40,84.35,44.12,46.90
229,1997,1987,3 - BSc/MSc,1109,4,0,-189.25,1.20,247.38,256.15,146.25,106.13,58.12
230,1980,1951,3 - BSc/MSc,3226,1,1,279.94,0.54,250.49,54.45,241.49,63.90,48.23
231,1980,1947,2 - High School,3812,1,0,-69.12,1.06,267.94,207.25,201.26,44.12,41.23
232,1975,1944,2 - High School,3851,3,0,461.99,0.41,183.59,303.40,219.82,18.67,99.24
233,1985,1964,2 - High School,2524,4,1,514.32,0.16,443.53,59.45,102.24,16.67,19.67
234,1995,1985,2 - High School,1650,1,1,114.36,0.88,139.36,808.50,163.92,63.68,34.34
235,1991,1996,1 - Basic,1980,2,1,-13.33,0.99,33.34,406.20,131.69,175.70,164.03
236,1978,1962,3 - BSc/MSc,2568,1,1,374.20,0.28,447.53,-30.55,107.91,8.89,17.78
237,1987,1948,2 - High School,3573,4,0,752.03,0.27,152.25,579.55,233.71,53.90,45.23
238,1978,1964,2 - High School,2924,4,1,293.06,0.65,205.04,403.40,105.02,87.24,113.02
239,1992,1972,2 - High School,1889,4,1,549.65,0.43,239.49,501.75,180.70,75.68,2.78
240,1992,1948,2 - High School,3506,1,0,564.43,0.33,153.25,335.05,295.61,64.79,36.34
241,1992,1970,3 - BSc/MSc,2418,1,1,481.77,0.07,541.77,-35.00,25.45,6.89,3.89
242,1983,1986,2 - High School,642,4,1,381.53,0.49,188.48,273.95,271.83,26.45,29.45
243,1975,1952,3 - BSc/MSc,3766,1,0,51.35,0.88,210.15,23.90,253.38,70.79,63.01
244,1985,1945,3 - BSc/MSc,3676,4,0,493.09,0.32,301.39,216.70,195.37,50.12,2.78
245,1989,1988,3 - BSc/MSc,1207,3,1,161.25,0.75,293.50,177.25,207.26,37.34,28.34
246,1984,1993,1 - Basic,566,3,1,-20.55,1.00,32.23,422.30,302.50,101.24,73.46
247,1990,1986,3 - BSc/MSc,1637,2,1,308.73,0.50,311.28,111.70,225.93,20.67,1.78
248,1994,1968,3 - BSc/MSc,2389,3,1,557.12,0.00,506.54,3.90,49.01,17.78,4.89
249,1983,1982,3 - BSc/MSc,1817,3,1,-58.99,1.06,466.42,-10.55,112.91,12.89,16.89
250,1987,1973,4 - PhD,2572,4,1,535.88,0.12,510.54,39.45,73.68,12.89,2.00
251,1991,1987,2 - High School,1579,4,1,704.24,0.35,92.46,639.00,248.49,-1.11,139.36
252,1978,1980,3 - BSc/MSc,1920,4,1,-25.00,1.00,389.63,68.90,154.25,17.67,23.67
253,1975,1968,3 - BSc/MSc,2319,2,1,-20.00,0.99,537.99,55.00,40.12,-1.00,6.00
254,1990,1942,3 - BSc/MSc,4374,3,0,348.61,0.46,316.17,99.45,188.59,22.67,64.68
255,1995,1984,2 - High School,1903,4,1,7.00,0.95,174.70,142.80,246.27,110.80,22.67
256,1976,1944,1 - Basic,3842,1,0,875.63,0.21,181.48,725.15,207.26,14.67,8.67
257,1990,1957,4 - PhD,2945,3,1,302.95,0.55,310.17,187.25,197.26,17.78,17.45
258,1991,1995,3 - BSc/MSc,380,1,0,1105.42,0.21,50.90,1012.40,221.93,10.78,128.80
259,1996,1957,2 - High School,3463,4,1,37.02,0.90,316.28,43.35,234.71,19.56,0.89
260,1984,1986,4 - PhD,1201,4,1,455.97,0.35,291.61,162.80,230.71,26.56,29.67
261,1987,1970,4 - PhD,2692,4,1,582.11,0.08,537.77,69.45,37.45,-6.00,17.89
262,1992,1987,3 - BSc/MSc,1008,3,1,338.84,0.45,222.04,98.35,301.28,44.23,0.78
263,1982,1991,1 - Basic,931,1,1,255.95,0.66,175.70,288.95,180.70,101.24,82.46
